TICKER,NAME,RETURN,RISK,MKTCAP,TURNOVER_RATIO,AMIHUD_ILLIQUIDITY,VOLUME
MZC,MazaCoin,0.006414509,0.143736008,364577.4298,0.003166334,0.000199835,1031.360882
DSH,Dashcoin,0.006344269,0.18423502,383579.5152,0.015269362,0.000536594,2867.162534
TRK,Truckcoin,0.006230879,0.184686881,161510.0275,0.010379109,0.001122222,896.7107438
SLG,Sterlingcoin,0.00620529,0.1675365,157159.3912,0.006593399,0.00527778,805.5344353
MAID,MaidSafeCoin,0.006072992,0.071450326,161820766.1,0.01374186,3.85E-08,2365655.584
NYAN,Nyancoin,0.006069393,0.203752327,144442.6391,0.00147902,0.00704477,236.9201102
QCN,QuazarCoin,0.00606785,0.20562127,88308.80716,0.003626753,0.005520332,404.9724518
ION,ION,0.005922051,0.221410018,14352785.71,0.007327622,0.011335731,157645.1732
SLR,SolarCoin,0.005908234,0.096938866,7431644.738,0.014450908,2.41E-06,154231.8044
INCNT,Incent,0.005708633,0.146025683,5622262.435,0.026019976,8.81E-05,162344.5262
NLG,Gulden,0.005699635,0.096819668,25717943.36,0.005672173,9.83E-07,175371.5482
BASH,LuckChain,0.005634402,0.249118652,4266859.507,0.017223854,0.003610352,232053.3085
EAC,EarthCoin,0.005629265,0.22533916,7780154.939,0.100531266,0.000109685,1333551.223
RBY,Rubycoin,0.005595368,0.127675969,12152680.88,0.010256025,3.28E-06,198437.2424
AC,AsiaCoin,0.005552481,0.254498151,2000253.541,0.001300761,0.005654131,1356.303867
BCY,Bitcrystals,0.005469292,0.090643941,9490275.702,0.021408426,1.59E-06,224719.7576
DGC,Digitalcoin,0.00546071,0.251916852,1032212.658,0.035807335,0.000104904,88249.78237
WDC,WorldCoin,0.00542321,0.185877305,3908727.152,0.054951283,3.97E-05,458885.9146
CPC,Capricoin,0.00523629,0.101625586,604693.6143,0.144036009,7.57E-06,163966.6446
MEC,Megacoin,0.005153251,0.153075678,2679208.961,0.081134972,2.47E-05,395561.405
C2,Coin2.1,0.005020129,0.207835207,158368.6575,0.063975013,0.002352383,15384.69061
GOLOS,Golos,0.00495805,0.135068333,11091493.57,0.013591727,0.000118256,106740.4656
QRK,Quark,0.00476485,0.172005368,3617555.854,0.014570626,0.000585186,126711.8402
NEWB,Newbium,0.0047601,0.226576797,206371.0621,0.012233842,0.007580909,2402.285311
YAC,Yacoin,0.004741438,0.140765614,91690.99725,0.003012209,0.01153644,169.8898072
ORB,Orbitcoin,0.004711229,0.112159071,477503.9146,0.00527829,0.000821162,1321.424242
LMC,LoMoCoin,0.00457915,0.235904825,8015564.504,0.061052091,1.54E-05,610749.9972
GB,GoldBlocks,0.004447698,0.162135048,444662.8209,0.014405595,0.000189476,13839.61157
ZET,Zetacoin,0.004132845,0.186885021,1791006.022,0.075417799,7.65E-05,254122.1763
AMBER,AmberCoin,0.004115666,0.219245316,224017.2281,0.001750362,0.019099257,161.5994152
LKK,Lykke,0.004066829,0.044443684,49408949.86,0.006748034,6.99E-07,261390.4793
SAC,SACoin,0.003574317,0.202079571,196708.8153,0.292136596,0.001565371,15970.8125
TAG,TagCoin,0.003557662,0.201102533,970889.5455,0.064614074,0.000356451,109576.5207
RBIES,Rubies,0.003487254,0.197758741,232413.4601,0.0063904,0.00244945,1489.300275
BLOCKPAY,BlockPay,0.003455862,0.272310493,1206629.572,0.002573701,0.000578028,3307.529745
GP,GoldPieces,0.002846049,0.217320882,68896.23691,0.022081191,0.001148502,1309.311295
VSL,vSlice,0.002845069,0.129454001,12126234.1,0.012958048,3.84E-05,136923.6061
ADZ,Adzcoin,0.002625919,0.123308993,1561090.967,0.003233673,2.28E-05,4627.14876
QTL,Quatloo,0.002524501,0.162657979,143392.5234,0.061635437,0.001906384,12031.5978
POST,PostCoin,0.002521248,0.084416474,316419.2287,0.011448285,2.58E-05,3395.245179
VASH,VPNCoin,0.002115377,0.129965368,4057724.719,0.173355743,1.96E-06,772191.8399
MNM,Mineum,0.002007947,0.214581802,230538.5041,0.001335188,0.007813685,279.6060606
SWING,Swing,0.001740013,0.25702731,167174.9697,0.006684721,0.002127569,851.5619835
XAUR,Xaurum,0.001704735,0.075669636,19339827.13,0.007266122,1.29E-06,158570.2617
TRUMP,TrumpCoin,0.001200003,0.146060952,513972.4408,0.016469353,5.15E-05,16598.52066
XHI,HiCoin,0.000443981,0.136594874,813721.2562,0.125402064,2.09E-06,90183.22314
RBT,Rimbit,0.000232662,0.209321247,112038.0193,0.051652154,0.00411807,6191.407713
808,808Coin,5.96E-05,0.201480955,352768.6667,0.019701283,0.002872793,6929.804408
USDT,Tether,2.74E-05,0.009306586,279911975.1,0.647376806,5.86E-11,283788862.9
BITCNY,bitCNY,2.94E-06,0.047711737,7209236.725,0.203159008,9.04E-07,2955624.794
BITGOLD,bitGold,-6.65E-05,0.105300113,80594.99162,0.03591272,0.003258684,3353.851955
USNBT,NuBits,-8.13E-05,0.03187921,449254.8953,0.454480119,1.22E-05,460849.5868
BITSILVER,bitSilver,-0.00010679,0.109795797,122264.6443,0.051659452,0.001696859,7309.061625
BITUSD,bitUSD,-0.000130448,0.037983695,3332820.325,0.161255597,1.07E-05,609804.1889
BLRY,BillaryCoin,-0.000265381,0.21836017,81080.24507,0.004333554,0.019845645,515.0619718
FC2,FuelCoin,-0.000989533,0.187990039,448009.4339,0.003902548,0.004939546,1272.295977
BOST,BoostCoin,-0.001733773,0.251864179,1025890.837,0.034588721,0.006167399,65047.41713
LEO,LEOcoin,-0.001870959,0.063836848,19132904.96,0.011370661,4.91E-07,298828.3223
JWL,Jewels,-0.002149687,0.179044003,153242.8028,0.02497211,0.009794475,4176.614085
ADCN,Asiadigicoin,-0.008175101,0.162074185,245771.1173,0.023472591,0.000633891,5194.351955
